north_latitude,south_latitude,west_longitud,east_longitude
40.7207013901,40.710819922,-73.9389959835,-73.9283301282
40.7207013901,40.710819922,-73.9496618389,-73.9389959835
40.7207013901,40.710819922,-73.9603276942,-73.9496618389
40.7207013901,40.710819922,-73.9709935495,-73.9603276942
40.7207013901,40.710819922,-73.9816594048,-73.9709935495
40.7207013901,40.710819922,-73.9923252601,-73.9816594048
40.7207013901,40.710819922,-74.0029911155,-73.9923252601
40.7207013901,40.710819922,-74.0136569708,-74.0029911155
40.7207013901,40.710819922,-74.0243228261,-74.0136569708
40.7207013901,40.710819922,-74.0349886814,-74.0243228261
40.7207013901,40.710819922,-74.0456545367,-74.0349886814
40.7207013901,40.710819922,-74.056320392,-74.0456545367
40.7305828583,40.7207013901,-73.9283332938,-73.9176658553
40.7305828583,40.7207013901,-73.9390007324,-73.9283332938
40.7305828583,40.7207013901,-73.9496681709,-73.9390007324
40.7305828583,40.7207013901,-73.9603356094,-73.9496681709
40.7305828583,40.7207013901,-73.9710030479,-73.9603356094
40.7305828583,40.7207013901,-73.9816704864,-73.9710030479
40.7305828583,40.7207013901,-73.9923379249,-73.9816704864
40.7305828583,40.7207013901,-74.0030053635,-73.9923379249
40.7305828583,40.7207013901,-74.013672802,-74.0030053635
40.7305828583,40.7207013901,-74.0243402405,-74.013672802
40.7305828583,40.7207013901,-74.035007679,-74.0243402405
40.7305828583,40.7207013901,-74.0456751175,-74.035007679
40.7305828583,40.7207013901,-74.056342556,-74.0456751175
40.7404643264,40.7305828583,-73.928336461,-73.9176674385
40.7404643264,40.7305828583,-73.9390054835,-73.928336461
40.7404643264,40.7305828583,-73.949674506,-73.9390054835
40.7404643264,40.7305828583,-73.9603435285,-73.949674506
40.7404643264,40.7305828583,-73.971012551,-73.9603435285
40.7404643264,40.7305828583,-73.9816815735,-73.971012551
40.7404643264,40.7305828583,-73.992350596,-73.9816815735
40.7404643264,40.7305828583,-74.0030196185,-73.992350596
40.7404643264,40.7305828583,-74.013688641,-74.0030196185
40.7404643264,40.7305828583,-74.0243576635,-74.013688641
40.7404643264,40.7305828583,-74.035026686,-74.0243576635
40.7404643264,40.7305828583,-74.0456957085,-74.035026686
40.7404643264,40.7305828583,-74.056364731,-74.0456957085
40.7503457945,40.7404643264,-73.9283396298,-73.9176690225
40.7503457945,40.7404643264,-73.9390102371,-73.9283396298
40.7503457945,40.7404643264,-73.9496808443,-73.9390102371
40.7503457945,40.7404643264,-73.9603514516,-73.9496808443
40.7503457945,40.7404643264,-73.9710220589,-73.9603514516
40.7503457945,40.7404643264,-73.9816926662,-73.9710220589
40.7503457945,40.7404643264,-73.9923632734,-73.9816926662
40.7503457945,40.7404643264,-74.0030338807,-73.9923632734
40.7503457945,40.7404643264,-74.013704488,-74.0030338807
40.7503457945,40.7404643264,-74.0243750953,-74.013704488
40.7503457945,40.7404643264,-74.0350457025,-74.0243750953
40.7503457945,40.7404643264,-74.0457163098,-74.0350457025
40.7503457945,40.7404643264,-74.0563869171,-74.0457163098
40.7602272626,40.7503457945,-73.9283428001,-73.9176706073
40.7602272626,40.7503457945,-73.939014993,-73.9283428001
40.7602272626,40.7503457945,-73.9496871858,-73.939014993
40.7602272626,40.7503457945,-73.9603593786,-73.9496871858
40.7602272626,40.7503457945,-73.9710315715,-73.9603593786
40.7602272626,40.7503457945,-73.9817037643,-73.9710315715
40.7602272626,40.7503457945,-73.9923759571,-73.9817037643
40.7602272626,40.7503457945,-74.00304815,-73.9923759571
40.7602272626,40.7503457945,-74.0137203428,-74.00304815
40.7602272626,40.7503457945,-74.0243925357,-74.0137203428
40.7602272626,40.7503457945,-74.0350647285,-74.0243925357
40.7602272626,40.7503457945,-74.0457369213,-74.0350647285
40.7602272626,40.7503457945,-74.0564091142,-74.0457369213
40.7701087308,40.7602272626,-73.928345972,-73.9176721928
40.7701087308,40.7602272626,-73.9390197512,-73.928345972
40.7701087308,40.7602272626,-73.9496935304,-73.9390197512
40.7701087308,40.7602272626,-73.9603673096,-73.9496935304
40.7701087308,40.7602272626,-73.9710410888,-73.9603673096
40.7701087308,40.7602272626,-73.981714868,-73.9710410888
40.7701087308,40.7602272626,-73.9923886472,-73.981714868
40.7701087308,40.7602272626,-74.0030624264,-73.9923886472
40.7701087308,40.7602272626,-74.0137362055,-74.0030624264
40.7701087308,40.7602272626,-74.0244099847,-74.0137362055
40.7701087308,40.7602272626,-74.0350837639,-74.0244099847
40.7701087308,40.7602272626,-74.0457575431,-74.0350837639
40.7701087308,40.7602272626,-74.0564313223,-74.0457575431
40.7799901989,40.7701087308,-73.9283491455,-73.9176737792
40.7799901989,40.7701087308,-73.9390245118,-73.9283491455
40.7799901989,40.7701087308,-73.9496998782,-73.9390245118
40.7799901989,40.7701087308,-73.9603752445,-73.9496998782
40.7799901989,40.7701087308,-73.9710506108,-73.9603752445
40.7799901989,40.7701087308,-73.9817259772,-73.9710506108
40.7799901989,40.7701087308,-73.9924013435,-73.9817259772
40.7799901989,40.7701087308,-74.0030767098,-73.9924013435
40.7799901989,40.7701087308,-74.0137520762,-74.0030767098
40.7799901989,40.7701087308,-74.0244274425,-74.0137520762
40.7799901989,40.7701087308,-74.0351028088,-74.0244274425
40.7799901989,40.7701087308,-74.0457781751,-74.0351028088
40.7799901989,40.7701087308,-74.0564535415,-74.0457781751
40.789871667,40.7799901989,-73.9283523206,-73.9176753663
40.789871667,40.7799901989,-73.9390292748,-73.9283523206
40.789871667,40.7799901989,-73.9497062291,-73.9390292748
40.789871667,40.7799901989,-73.9603831834,-73.9497062291
40.789871667,40.7799901989,-73.9710601376,-73.9603831834
40.789871667,40.7799901989,-73.9817370919,-73.9710601376
40.789871667,40.7799901989,-73.9924140461,-73.9817370919
40.789871667,40.7799901989,-74.0030910004,-73.9924140461
40.789871667,40.7799901989,-74.0137679547,-74.0030910004
40.789871667,40.7799901989,-74.0244449089,-74.0137679547
40.789871667,40.7799901989,-74.0351218632,-74.0244449089
40.789871667,40.7799901989,-74.0457988174,-74.0351218632
